s_city_id,s_start,s_lat,s_lon,s_country,s_Volume,e_city_id,e_end,e_lat,e_lon,e_country,e_vol
183,OCI Plant,35.979712,126.662835,South Korea,765122,98,Cape Town,-33.968293,18.576651,South Africa,1
183,OCI Plant,35.979712,126.662835,South Korea,765122,99,TEMASOL,33.998192,-6.846631,Morocco,1
183,OCI Plant,35.979712,126.662835,South Korea,765122,99,Modco,14.27815,121.065836,Philipines,1
183,OCI Plant,35.979712,126.662835,South Korea,765122,99,Mexicali,32.622782,-115.532608,Mexico,1
183,OCI Plant,35.979712,126.662835,South Korea,765122,100,Toulouse,43.601634,1.358577,France,1
183,OCI Plant,35.979712,126.662835,South Korea,765122,101,De Vernejoul,49.168314,6.660245,France,1
200,OCI Malaysia,3.544446,113.305171,Malaysia,765122,102,Malaysia,2.34049,102.21123,Malaysia,1
200,OCI Malaysia,3.544446,113.305171,Malaysia,765122,103,France,45.816077,4.726069,France,1
200,OCI Malaysia,3.544446,113.305171,Malaysia,765122,104,Fab 4,14.27618,121.135141,Philipines,1
200,OCI Malaysia,3.544446,113.305171,Malaysia,765122,105,Fab 2,14.137501,121.135141,Philipines,1
200,OCI Malaysia,3.544446,113.305171,Malaysia,765122,106,Brighton,-37.905482,144.999517,Australia,1
200,OCI Malaysia,3.544446,113.305171,Malaysia,765122,107,Richmond,37.910501,-122.358354,United States of America,1
200,OCI Malaysia,3.544446,113.305171,Malaysia,765122,108,San Jose,37.404787,-121.946716,United States of America,1
200,OCI Malaysia,3.544446,113.305171,Malaysia,765122,109,Cape Town,-33.968293,18.576651,South Africa,1
200,OCI Malaysia,3.544446,113.305171,Malaysia,765122,110,TEMASOL,33.998192,-6.846631,Morocco,1
200,OCI Malaysia,3.544446,113.305171,Malaysia,765122,111,Modco,14.27815,121.065836,Philipines,1
200,OCI Malaysia,3.544446,113.305171,Malaysia,765122,112,Mexicali,32.622782,-115.532608,Mexico,1
200,OCI Malaysia,3.544446,113.305171,Malaysia,765122,113,Malaysia,2.34049,102.21123,Malaysia,1
200,OCI Malaysia,3.544446,113.305171,Malaysia,765122,114,Toulouse,43.601634,1.358577,France,1
200,OCI Malaysia,3.544446,113.305171,Malaysia,765122,115,De Vernejoul,49.168314,6.660245,France,1
