s_start,s_lat,s_lon,s_country,e_end,e_lat,e_lon,e_country
Hemlock,43.436264,-84.160654,United States of America,Malaysia,2.34049,102.21123,Malaysia
Wacker Polysilicon,35.283907,-84.796076,United States of America,France,45.816077,4.726069,France
Wacker Polysilicon,35.283907,-84.796076,United States of America,Fab 4,14.27618,121.135141,Philipines
Wacker Polysilicon,35.283907,-84.796076,United States of America,Fab 2,14.137501,121.135141,Philipines
Wacker Polysilicon,35.283907,-84.796076,United States of America,Brighton,-37.905482,144.999517,Australia
Wacker Polysilicon,35.283907,-84.796076,United States of America,Richmond,37.910501,-122.358354,United States of America
Wacker Polysilicon,35.283907,-84.796076,United States of America,San Jose,37.404787,-121.946716,United States of America
Wacker Polysilicon,35.283907,-84.796076,United States of America,Cape Town,-33.968293,18.576651,South Africa
Wacker Polysilicon,35.283907,-84.796076,United States of America,TEMASOL,33.998192,-6.846631,Morocco
Wacker Polysilicon,35.283907,-84.796076,United States of America,Modco,14.27815,121.065836,Philipines
Wacker Polysilicon,35.283907,-84.796076,United States of America,Mexicali,32.622782,-115.532608,Mexico
REC Silicon ASA,59.90261,10.631623,Norway,Malaysia,2.34049,102.21123,Malaysia
REC Silicon ASA,59.90261,10.631623,Norway,France,45.816077,4.726069,France
REC Silicon ASA,59.90261,10.631623,Norway,Fab 4,14.27618,121.135141,Philipines
REC Silicon ASA,59.90261,10.631623,Norway,Fab 2,14.137501,121.135141,Philipines
REC Silicon ASA,59.90261,10.631623,Norway,Brighton,-37.905482,144.999517,Australia
REC Silicon ASA,59.90261,10.631623,Norway,Richmond,37.910501,-122.358354,United States of America
REC Silicon ASA,59.90261,10.631623,Norway,San Jose,37.404787,-121.946716,United States of America
REC Silicon ASA,59.90261,10.631623,Norway,Cape Town,-33.968293,18.576651,South Africa
REC Silicon ASA,59.90261,10.631623,Norway,TEMASOL,33.998192,-6.846631,Morocco
REC Silicon ASA,59.90261,10.631623,Norway,Modco,14.27815,121.065836,Philipines
REC Silicon ASA,59.90261,10.631623,Norway,Mexicali,32.622782,-115.532608,Mexico
REC Silicon,47.134918,-119.198713,United States of America,Malaysia,2.34049,102.21123,Malaysia
REC Silicon,47.134918,-119.198713,United States of America,France,45.816077,4.726069,France
REC Silicon,47.134918,-119.198713,United States of America,Fab 4,14.27618,121.135141,Philipines
REC Silicon,47.134918,-119.198713,United States of America,Fab 2,14.137501,121.135141,Philipines
REC Silicon,47.134918,-119.198713,United States of America,Brighton,-37.905482,144.999517,Australia
REC Silicon,47.134918,-119.198713,United States of America,Richmond,37.910501,-122.358354,United States of America
REC Silicon,47.134918,-119.198713,United States of America,San Jose,37.404787,-121.946716,United States of America
REC Silicon,47.134918,-119.198713,United States of America,Cape Town,-33.968293,18.576651,South Africa
REC Silicon,47.134918,-119.198713,United States of America,TEMASOL,33.998192,-6.846631,Morocco
REC Silicon,47.134918,-119.198713,United States of America,Modco,14.27815,121.065836,Philipines
REC Silicon,47.134918,-119.198713,United States of America,Mexicali,32.622782,-115.532608,Mexico
REC Silicon,45.970868,-112.688913,United States of America,Malaysia,2.34049,102.21123,Malaysia
REC Silicon,45.970868,-112.688913,United States of America,France,45.816077,4.726069,France
REC Silicon,45.970868,-112.688913,United States of America,Fab 4,14.27618,121.135141,Philipines
REC Silicon,45.970868,-112.688913,United States of America,Fab 2,14.137501,121.135141,Philipines
REC Silicon,45.970868,-112.688913,United States of America,Brighton,-37.905482,144.999517,Australia
REC Silicon,45.970868,-112.688913,United States of America,Richmond,37.910501,-122.358354,United States of America
REC Silicon,45.970868,-112.688913,United States of America,San Jose,37.404787,-121.946716,United States of America
REC Silicon,45.970868,-112.688913,United States of America,Cape Town,-33.968293,18.576651,South Africa
REC Silicon,45.970868,-112.688913,United States of America,TEMASOL,33.998192,-6.846631,Morocco
REC Silicon,45.970868,-112.688913,United States of America,Modco,14.27815,121.065836,Philipines
REC Silicon,45.970868,-112.688913,United States of America,Mexicali,32.622782,-115.532608,Mexico
OCI Plant,35.979712,126.662835,South Korea,Malaysia,2.34049,102.21123,Malaysia
OCI Plant,35.979712,126.662835,South Korea,France,45.816077,4.726069,France
OCI Plant,35.979712,126.662835,South Korea,Fab 4,14.27618,121.135141,Philipines
OCI Plant,35.979712,126.662835,South Korea,Fab 2,14.137501,121.135141,Philipines
OCI Plant,35.979712,126.662835,South Korea,Brighton,-37.905482,144.999517,Australia
OCI Plant,35.979712,126.662835,South Korea,Richmond,37.910501,-122.358354,United States of America
OCI Plant,35.979712,126.662835,South Korea,San Jose,37.404787,-121.946716,United States of America
OCI Plant,35.979712,126.662835,South Korea,Cape Town,-33.968293,18.576651,South Africa
OCI Plant,35.979712,126.662835,South Korea,TEMASOL,33.998192,-6.846631,Morocco
OCI Plant,35.979712,126.662835,South Korea,Modco,14.27815,121.065836,Philipines
OCI Plant,35.979712,126.662835,South Korea,Mexicali,32.622782,-115.532608,Mexico
OCI Malaysia,3.544446,113.305171,Malaysia,Malaysia,2.34049,102.21123,Malaysia
OCI Malaysia,3.544446,113.305171,Malaysia,France,45.816077,4.726069,France
OCI Malaysia,3.544446,113.305171,Malaysia,Fab 4,14.27618,121.135141,Philipines
OCI Malaysia,3.544446,113.305171,Malaysia,Fab 2,14.137501,121.135141,Philipines
OCI Malaysia,3.544446,113.305171,Malaysia,Brighton,-37.905482,144.999517,Australia
OCI Malaysia,3.544446,113.305171,Malaysia,Richmond,37.910501,-122.358354,United States of America
OCI Malaysia,3.544446,113.305171,Malaysia,San Jose,37.404787,-121.946716,United States of America
